WATER DEPTH (m),FCM1,FCM2,FCM3,FCM4,FCM5,FCM6,FCM7,FCM8,FCM9,FCM10,FCM11,ACFS1a,ACFS1b,ACFS2a,ACFS2b,ACFS3,ACFS4,ACFS5,ACFS6,LIB1,LIB2,LIB3,LIB4,LIB5,LIB6,CB1,CB2,CB3,CB4
-0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
-0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.05,0.27,0.27,0.04,0.02,0,0.11,0.24,0.25,0.25,0.25,0.25,0.254285714,0.254285714,0.0425,0.0425,0.0425,0.0425,0.0425,0.254285714,0,0,0,0,0,0,0,0,0,0
0.1,0.27,0.27,0.08,0.04,0,0.22,0.24,0.25,0.25,0.25,0.25,0.254285714,0.254285714,0.085,0.085,0.085,0.085,0.085,0.254285714,0,0,0,0,0,0,0,0,0,0
0.2,0.27,0.27,0.08,0.04,0,0.22,0.24,0.25,0.25,0.25,0.25,0.254285714,0.254285714,0.085,0.085,0.085,0.085,0.085,0.254285714,0,0,0,0,0,0,0,0,0,0
0.3,0.27,0.27,0.08,0.04,0,0.22,0.24,0.25,0.25,0.25,0.25,0.254285714,0.254285714,0.085,0.085,0.085,0.085,0.085,0.254285714,0,0,0,0,0,0,0,0,0,0
0.4,0.27,0.27,0.08,0.04,0,0.22,0.24,0.25,0.25,0.25,0.25,0.254285714,0.254285714,0.085,0.085,0.085,0.085,0.085,0.254285714,0,0,0,0,0,0,0,0,0,0
0.5,0.27,0.27,0.08,0.04,0,0.22,0.24,0.25,0.25,0.25,0.25,0.254285714,0.254285714,0.085,0.085,0.085,0.085,0.085,0.254285714,0,0,0,0,0,0,0,0,0,0
0.6,0.276,0.276,0.082,0.04,0,0.22,0.246,0.256,0.256,0.256,0.256,0.260285714,0.260285714,0.0855,0.0855,0.0855,0.0855,0.0855,0.260285714,0,0,0,0,0,0,0,0,0,0
0.7,0.282,0.282,0.084,0.04,0,0.22,0.252,0.262,0.262,0.262,0.262,0.266285714,0.266285714,0.086,0.086,0.086,0.086,0.086,0.266285714,0,0,0,0,0,0,0,0,0,0
0.8,0.288,0.288,0.086,0.04,0,0.22,0.258,0.268,0.268,0.268,0.268,0.272285714,0.272285714,0.0865,0.0865,0.0865,0.0865,0.0865,0.272285714,0,0,0,0,0,0,0,0,0,0
0.9,0.294,0.294,0.088,0.04,0,0.22,0.264,0.274,0.274,0.274,0.274,0.278285714,0.278285714,0.087,0.087,0.087,0.087,0.087,0.278285714,0,0,0,0,0,0,0,0,0,0
1,0.3,0.3,0.09,0.04,0,0.22,0.27,0.28,0.28,0.28,0.28,0.284285714,0.284285714,0.0875,0.0875,0.0875,0.0875,0.0875,0.284285714,0,0,0,0,0,0,0,0,0,0
1.1,0.302,0.302,0.09,0.04,0,0.226,0.272,0.282,0.282,0.282,0.282,0.286285714,0.286285714,0.089,0.089,0.089,0.089,0.089,0.286285714,0,0,0,0,0,0,0,0,0,0
1.2,0.304,0.304,0.09,0.04,0,0.232,0.274,0.284,0.284,0.284,0.284,0.288285714,0.288285714,0.0905,0.0905,0.0905,0.0905,0.0905,0.288285714,0,0,0,0,0,0,0,0,0,0
1.3,0.306,0.306,0.09,0.04,0,0.238,0.276,0.286,0.286,0.286,0.286,0.290285714,0.290285714,0.092,0.092,0.092,0.092,0.092,0.290285714,0,0,0,0,0,0,0,0,0,0
1.4,0.308,0.308,0.09,0.04,0,0.244,0.278,0.288,0.288,0.288,0.288,0.292285714,0.292285714,0.0935,0.0935,0.0935,0.0935,0.0935,0.292285714,0,0,0,0,0,0,0,0,0,0
1.5,0.31,0.31,0.09,0.04,0,0.25,0.28,0.29,0.29,0.29,0.29,0.294285714,0.294285714,0.095,0.095,0.095,0.095,0.095,0.294285714,0,0,0,0,0,0,0,0,0,0
1.6,0.34,0.34,0.092,0.042,0,0.282,0.306,0.316,0.316,0.316,0.316,0.321428571,0.321428571,0.104,0.104,0.104,0.104,0.104,0.321428571,0,0,0,0,0,0,0,0,0,0
1.7,0.37,0.37,0.094,0.044,0,0.314,0.332,0.342,0.342,0.342,0.342,0.348571429,0.348571429,0.113,0.113,0.113,0.113,0.113,0.348571429,0,0,0,0,0,0,0,0,0,0
1.8,0.4,0.4,0.096,0.046,0,0.346,0.358,0.368,0.368,0.368,0.368,0.375714286,0.375714286,0.122,0.122,0.122,0.122,0.122,0.375714286,0,0,0,0,0,0,0,0,0,0
1.9,0.43,0.43,0.098,0.048,0,0.378,0.384,0.394,0.394,0.394,0.394,0.402857143,0.402857143,0.131,0.131,0.131,0.131,0.131,0.402857143,0,0,0,0,0,0,0,0,0,0
2,0.46,0.46,0.1,0.05,0,0.41,0.41,0.42,0.42,0.42,0.42,0.43,0.43,0.14,0.14,0.14,0.14,0.14,0.43,0,0,0,0,0,0,0,0,0,0
2.1,0.468,0.468,0.1,0.05,0,0.4175,0.416,0.428,0.428,0.428,0.428,0.437714286,0.437714286,0.141875,0.141875,0.141875,0.141875,0.141875,0.437714286,0,0,0,0,0,0,0,0,0,0
2.2,0.476,0.476,0.1,0.05,0,0.425,0.422,0.436,0.436,0.436,0.436,0.445428571,0.445428571,0.14375,0.14375,0.14375,0.14375,0.14375,0.445428571,0,0,0,0,0,0,0,0,0,0
2.3,0.484,0.484,0.1,0.05,0,0.4325,0.428,0.444,0.444,0.444,0.444,0.453142857,0.453142857,0.145625,0.145625,0.145625,0.145625,0.145625,0.453142857,0,0,0,0,0,0,0,0,0,0
2.4,0.492,0.492,0.1,0.05,0,0.44,0.434,0.452,0.452,0.452,0.452,0.460857143,0.460857143,0.1475,0.1475,0.1475,0.1475,0.1475,0.460857143,0,0,0,0,0,0,0,0,0,0
2.5,0.5,0.5,0.1,0.05,0.06,0.4475,0.44,0.46,0.46,0.46,0.46,0.468571429,0.468571429,0.164375,0.164375,0.164375,0.164375,0.164375,0.468571429,0,0,0,0,0,0,0,0,0,0
2.6,0.514,0.514,0.126666667,0.05,0.12,0.455,0.454,0.474,0.474,0.474,0.474,0.482571429,0.482571429,0.187916667,0.187916667,0.187916667,0.187916667,0.187916667,0.482571429,0,0,0,0,0,0,0,0,0,0
2.7,0.528,0.528,0.153333333,0.05,0.18,0.4625,0.468,0.488,0.488,0.488,0.488,0.496571429,0.496571429,0.211458333,0.211458333,0.211458333,0.211458333,0.211458333,0.496571429,0,0,0,0,0,0,0,0,0,0
2.8,0.542,0.542,0.18,0.1,0.24,0.47,0.482,0.502,0.502,0.502,0.502,0.510571429,0.510571429,0.2475,0.2475,0.2475,0.2475,0.2475,0.510571429,0,0,0,0,0,0,0,0,0,0
2.9,0.556,0.556,0.206666667,0.15,0.24,0.47,0.496,0.516,0.516,0.516,0.516,0.524571429,0.524571429,0.266666667,0.266666667,0.266666667,0.266666667,0.266666667,0.524571429,0,0,0,0,0,0,0,0,0,0
3,0.57,0.57,0.233333333,0.2,0.24,0.47,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.285833333,0.285833333,0.285833333,0.285833333,0.285833333,0.538571429,0,0,0,0,0,0,0,0,0,0
3.1,0.57,0.57,0.26,0.25,0.244,0.471,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.30625,0.30625,0.30625,0.30625,0.30625,0.538571429,0,0,0,0,0,0,0,0,0,0
3.2,0.57,0.57,0.26,0.25,0.248,0.472,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.3075,0.3075,0.3075,0.3075,0.3075,0.538571429,0,0,0,0,0,0,0,0,0,0
3.3,0.57,0.57,0.26,0.25,0.252,0.473,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.30875,0.30875,0.30875,0.30875,0.30875,0.538571429,0,0,0,0,0,0,0,0,0,0
3.4,0.57,0.57,0.264285714,0.254285714,0.256,0.474,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.312142857,0.312142857,0.312142857,0.312142857,0.312142857,0.538571429,0,0,0,0,0,0,0,0,0,0
3.5,0.57,0.57,0.268571429,0.258571429,0.26,0.475,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.315535714,0.315535714,0.315535714,0.315535714,0.315535714,0.538571429,0,0,0,0,0,0,0,0,0,0
3.6,0.57,0.57,0.272857143,0.262857143,0.264,0.476,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.318928571,0.318928571,0.318928571,0.318928571,0.318928571,0.538571429,0,0,0,0,0,0,0,0,0,0
3.7,0.57,0.57,0.277142857,0.267142857,0.268,0.477,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.322321429,0.322321429,0.322321429,0.322321429,0.322321429,0.538571429,0,0,0,0,0,0,0,0,0,0
3.8,0.57,0.57,0.281428571,0.271428571,0.272,0.478,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.325714286,0.325714286,0.325714286,0.325714286,0.325714286,0.538571429,0,0,0,0,0,0,0,0,0,0
3.9,0.57,0.57,0.285714286,0.275714286,0.276,0.479,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.329107143,0.329107143,0.329107143,0.329107143,0.329107143,0.538571429,0,0,0,0,0,0,0,0,0,0
4,0.57,0.57,0.29,0.28,0.28,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.3325,0.3325,0.3325,0.3325,0.3325,0.538571429,0,0,0,0,0,0,0,0,0,0
4.1,0.57,0.57,0.302142857,0.292857143,0.297272727,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.343068182,0.343068182,0.343068182,0.343068182,0.343068182,0.538571429,0,0,0,0,0,0,0,0,0,0
4.2,0.57,0.57,0.314285714,0.305714286,0.314545455,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.353636364,0.353636364,0.353636364,0.353636364,0.353636364,0.538571429,0,0,0,0,0,0,0,0,0,0
4.3,0.57,0.57,0.326428571,0.318571429,0.331818182,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.364204545,0.364204545,0.364204545,0.364204545,0.364204545,0.538571429,0,0,0,0,0,0,0,0,0,0
4.4,0.57,0.57,0.338571429,0.331428571,0.349090909,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.374772727,0.374772727,0.374772727,0.374772727,0.374772727,0.538571429,0,0,0,0,0,0,0,0,0,0
4.5,0.57,0.57,0.350714286,0.344285714,0.366363636,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.385340909,0.385340909,0.385340909,0.385340909,0.385340909,0.538571429,0,0,0,0,0,0,0,0,0,0
4.6,0.57,0.57,0.362857143,0.357142857,0.383636364,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.395909091,0.395909091,0.395909091,0.395909091,0.395909091,0.538571429,0,0,0,0,0,0,0,0,0,0
4.7,0.57,0.57,0.375,0.37,0.400909091,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.406477273,0.406477273,0.406477273,0.406477273,0.406477273,0.538571429,0,0,0,0,0,0,0,0,0,0
4.8,0.57,0.57,0.387142857,0.382857143,0.418181818,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.417045455,0.417045455,0.417045455,0.417045455,0.417045455,0.538571429,0,0,0,0,0,0,0,0,0,0
4.9,0.57,0.57,0.399285714,0.395714286,0.435454545,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.427613636,0.427613636,0.427613636,0.427613636,0.427613636,0.538571429,0,0,0,0,0,0,0,0,0,0
5,0.57,0.57,0.411428571,0.408571429,0.452727273,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.438181818,0.438181818,0.438181818,0.438181818,0.438181818,0.538571429,0,0,0,0,0,0,0,0,0,0
5.1,0.57,0.57,0.423571429,0.421428571,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.44875,0.44875,0.44875,0.44875,0.44875,0.538571429,0,0,0,0,0,0,0,0,0,0
5.2,0.57,0.57,0.435714286,0.434285714,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.455,0.455,0.455,0.455,0.455,0.538571429,0,0,0,0,0,0,0,0,0,0
5.3,0.57,0.57,0.447857143,0.447142857,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.46125,0.46125,0.46125,0.46125,0.46125,0.538571429,0,0,0,0,0,0,0,0,0,0
5.4,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
5.5,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
5.6,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
5.7,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
5.8,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
5.9,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
6,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
6.1,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
6.2,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
6.3,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
6.4,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
6.5,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
6.6,0.57,0.57,0.46,0.46,0.47,0.48,0.51,0.53,0.53,0.53,0.53,0.538571429,0.538571429,0.4675,0.4675,0.4675,0.4675,0.4675,0.538571429,0,0,0,0,0,0,0,0,0,0
